범죄대분류,강력범죄,강력범죄,강력범죄,강력범죄,강력범죄,강력범죄,강력범죄,강력범죄,절도범죄,폭력범죄,폭력범죄,폭력범죄,폭력범죄,폭력범죄,폭력범죄,폭력범죄,폭력범죄,지능범죄,지능범죄,지능범죄,지능범죄,지능범죄,지능범죄,지능범죄,지능범죄,지능범죄,풍속범죄,풍속범죄,특별경제범죄,마약범죄,보건범죄,환경범죄,교통범죄,노동범죄,안보범죄,선거범죄,병역범죄,기타범죄
범죄중분류,살인기수,살인미수등,강도,강간,유사강간,강제추행,기타강간강제추행등,방화,절도범죄,상해,폭행,체포감금,협박,약취유인,폭력행위등,공갈,손괴,직무유기,직권남용,증수뢰,통화,문서인장,유가증권인지,사기,횡령,배임,성풍속범죄,도박범죄,특별경제범죄,마약범죄,보건범죄,환경범죄,교통범죄,노동범죄,안보범죄,선거범죄,병역범죄,기타범죄
경북 영천,1,1,1,6,2,19,0,4,283,92,274,2,32,0,7,6,125,4,8,0,0,16,0,459,79,9,28,8,67,16,11,2,663,0,0,6,14,407
경북 포항,3,4,3,65,7,126,5,14,2508,347,726,14,107,0,76,44,525,12,12,2,0,73,0,3206,304,21,162,23,273,29,122,43,2478,5,1,17,33,3224
경남 거제,2,1,3,29,3,59,0,2,794,185,525,10,106,2,25,20,281,3,0,0,0,41,0,1519,186,11,73,21,163,27,112,22,1239,2,0,15,11,1894
경남 김해,0,8,4,44,7,118,1,13,2757,387,1084,8,195,3,57,88,548,5,2,7,0,153,0,3296,440,38,175,26,408,139,182,188,2710,8,3,13,38,2128
경남 밀양,1,2,1,6,0,23,1,5,308,121,168,1,55,0,20,13,102,2,2,0,0,27,0,568,44,7,27,2,55,23,71,36,574,1,0,3,8,401
경남 사천,2,0,1,12,2,25,1,5,342,113,246,3,54,0,17,7,107,1,0,0,0,19,0,625,51,7,34,6,66,18,54,46,751,1,0,18,4,527
경남 양산,1,3,0,36,3,66,0,4,1158,221,803,3,141,1,47,50,302,8,18,3,0,62,0,2055,265,17,126,23,277,51,93,7,1573,6,0,25,25,1348
경남 진주,2,1,0,41,2,97,1,10,2114,251,800,9,127,5,33,59,387,4,10,2,1,57,1,2583,231,17,112,7,376,55,104,31,1376,7,1,16,13,1286
경남 창원,5,11,12,77,14,232,5,24,3426,635,2289,18,311,1,127,126,1095,14,14,7,2,184,0,7204,1069,70,391,53,796,226,291,71,4023,5,1,53,56,5339
경남 통영,0,1,5,19,4,38,2,5,387,134,334,0,61,0,47,21,155,15,5,0,0,28,0,1193,117,9,39,9,114,62,68,33,825,0,0,7,9,3261
제주 서귀포,1,4,1,17,8,84,0,9,886,213,625,4,109,0,56,28,374,0,4,0,0,35,0,1599,225,12,82,13,186,7,47,11,1382,9,2,21,12,1455
제주 제주,3,4,4,78,13,201,3,20,2247,351,2169,21,386,1,97,72,881,16,19,1,2,146,1,3996,646,52,216,49,595,44,170,21,3052,27,1,29,27,3575
기타도시,4,1,1,18,3,18,1,0,43,16,53,4,82,1,4,465,13,37,58,11,12,626,2,25191,993,176,786,110,2460,71,108,49,323,13,12,124,303,8013
도시이외,19,43,28,375,52,848,23,114,9454,2612,5704,58,1345,11,352,358,3486,166,128,31,13,843,1,16295,2080,263,747,290,2025,1000,856,574,20094,32,9,461,214,23631
